Authors,Title,Year,Source title,Cited by,DOI,Link,Abstract,Author Keywords,Publisher
"Pacchiano A., Chatterji N.S., Bartlett P.L.","Online learning with kernel losses",2019,"36th International Conference on Machine Learning, ICML 2019",1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078011083&partnerID=40&md5=5316cf7605083167f567d22011f8862b","We present a generalization of the adversarial linear bandits framework, where the underlying losses are kernel functions (with an associated reproducing kernel Hilbert space) rather than linear functions. We study a version of the exponential weights algorithm and bound its regret in this setting. Under conditions on the eigen-decay of the kernel we provide a sharp characterization of the regret for this algorithm. When we have polynomial eigen-decay (μj ≤ O(j-β)), we find that the regret is bounded by Rn ≤ O(nβ/2(β-1)). While under the assumption of exponential eigen-decay (μj ≤ O(e-βj)) we get an even tighter bound on the regret Rn ≤ Õ(n1/2). When the eigen-decay is polynomial we also show a non-matching minimax lower bound on the regret of Rn ≥ Ω(n(β+1)/2β) and a lower bound of Rn ≥ Ω(n1/2) when the decay in the eigenvalues is exponentially fast. We also study the full information setting when the underlying losses are kernel functions and present an adapted exponential weights algorithm and a conditional gradient descent algorithm. © 2019 by the Author(S).",,"International Machine Learning Society (IMLS)"
"Zhang Y., Liu T., Long M., Jordan M.I.","Bridging theory and algorithm for domain adaptation",2019,"36th International Conference on Machine Learning, ICML 2019",21,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077973636&partnerID=40&md5=2d27f85dd352c3427e83c16f2ef598f3","This paper addresses the problem of unsupervised domain adaption from theoretical and algorithmic perspectives. Existing domain adaptation theories naturally imply minimax optimization algorithms, which connect well with the domain adaptation methods based on adversarial learning. However, several disconnections still exist and form the gap between theory and algorithm. We extend previous theories (Mansour et al., 2009c; Ben-David et al., 2010) to multiclass classification in domain adaptation, where classifiers based on the scoring functions and margin loss are standard choices in algorithm design. We introduce Margin Disparity Discrepancy, a novel measurement with rigorous generalization bounds, tailored to the distribution comparison with the asymmetric margin loss, and to the minimax optimization for easier training. Our theory can be seamlessly transformed into an adversarial learning algorithm for domain adaptation, successfully bridging the gap between theory and algorithm. A series of empirical studies show that our algorithm achieves the state of the art accuracies on challenging domain adaptation tasks. © 36th International Conference on Machine Learning, ICML 2019. All rights reserved.",,"International Machine Learning Society (IMLS)"
"Vinayak R.K., Kong W., Valiant G., Kakade S.","Maximum likelihood estimation for learning populations of parameters",2019,"36th International Conference on Machine Learning, ICML 2019",1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077971555&partnerID=40&md5=9d3592ac8bf1d2f5418ba06b56fc740d","Consider a setting with N independent individuals, each with an unknown parameter, pi ∊ [0,1] drawn from some unknown distribution P*. After observing the outcomes of t independent Bernoulli trials, i.e., Xi ~ Binomial(t,pi) per individual, our objective is to accurately estimate P*. This problem arises in numerous domains, including the social sciences, psychology, healthcare, and biology, where the size of the population under study is usually large while the number of observations per individual is often limited. Our main result shows that, in the regime where t &lt;&lt; N, the maximum likelihood estimator (MLE) is both statistically minimax optimal and efficiently computable. Precisely, for sufficiently large N, the MLE achieves the information theoretic optimal error bound of O(1/t) for t &lt; clog N, with regards to the earth mover's distance (between the estimated and true distributions). More generally, in an exponentially large interval of t beyond c log iV, the MLE achieves the minimax error bound of O(1/ t log N). In contrast, regardless of how large N is, the naive ""plug-in"" estimator for this problem only achieves the sub-optimal error of Θ(1/ t). © 36th International Conference on Machine Learning, ICML 2019. All rights reserved.",,"International Machine Learning Society (IMLS)"
"Basu S., Gutstein S., Lance B., Shakkottai S.","Pareto optimal streaming unsupervised classification",2019,"36th International Conference on Machine Learning, ICML 2019",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077961354&partnerID=40&md5=c3d1554d09967c88e0bb358886fddee2","We study an online and streaming unsupervised classification system. Our setting consists of a collection of classifiers (with unknown confusion matrices) each of which can classify one sample per unit time, and which are accessed by a stream of unlabeled samples. Each sample is dispatched to one or more classifiers, and depending on the labels collected from these classifiers, may be sent to other classifiers to collect additional labels. The labels are continually aggregated. Once the aggregated label has high enough accuracy (pre-specified threshold for accuracy) or the sample is sent to all the classifiers, the now labeled sample is ejected from the system. For any given pre-specified accuracy threshold, the objective is to sustain the maximum possible sample arrival rate, such that the number of samples in memory does not grow unbounded. In this paper, we characterize the Pareto-optimal region of accuracy and arrival rate, and develop an algorithm that can operate at any point within this region. Our algorithm uses queueing-bascd routing and scheduling approaches combined with a novel online tensor decomposition method to learn the hidden parameters, to Pareto-optimality guarantees. We finally verify our theoretical results through simulations on two ensembles formed using AlexNet, VGG, and ResNet deep image classifiers. © 36th International Conference on Machine Learning, ICML 2019. All rights reserved.",,"International Machine Learning Society (IMLS)"
"Rado O., Neagu D.","On Selection of Optimal Classifiers",2019,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",1,"10.1007/978-3-030-34885-4_42","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076994695&doi=10.1007%2f978-3-030-34885-4_42&partnerID=40&md5=bec5a9b9e154120ac362113e6ee44429","The current advances of computational power and storage allow more models to be created and stored from significant data resources. This progress opens the opportunity to re-cycle and re-use such models in similar exercises. The evaluation of the machine learning algorithms and selection of an appropriate classifier from an existing collection of classifiers are still challenging tasks. In most cases, the decision of selecting the classifier is left to the user. When the selection is not performed accurately, the outcomes can have unexpected performance results. Classification algorithms aim to optimise some of the distinct objectives such as minimising misclassification error, maximising the accuracy, or maximising the model quality. The right choice for each of these objectives is critical to the quality of the classifier selected. This work aims to study the use of a multi-objective method that can be undertaken to find a set of suitable classifiers for a problem at hand. In this study, we applied seven classifiers on mental health data sets for classifier selection in terms of correctness and reliability. The experimental results suggest that this approach is useful in finding the best trade-off among the objectives of selecting a suitable classifier framework. © 2019, Springer Nature Switzerland AG.","Classification algorithms; Optimization; Pareto set","Springer"
"Li L., Zhai X.B., Chen B., Li C.","Multiple Tasks Assignment for Cooperating Homogeneous Unmanned Aerial Vehicles",2019,"Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST",,"10.1007/978-3-030-32388-2_18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076159380&doi=10.1007%2f978-3-030-32388-2_18&partnerID=40&md5=dbaa86a651f9e6999086aa07a8bbada6","Using multiple unmanned aerial vehicles (UAVs) to perform some tasks cooperatively has received growing attention in recent years. Task assignment is a difficult problem in mission planning. Multiple tasks assignment problem for cooperating homogeneous UAVs is considered as a traditional combinatorial optimization problem. This paper addresses the problem of assigning multiple tasks to cooperative homogeneous UAVs, minimizing the total cost and balancing the cost of each UAV. We propose a centralized task assignment scheme which is based on minimum spanning tree. This scheme involves two phases. In the first phase, we use the Kruskal algorithm and the breadth first search algorithm to assign all tasks to UAVs and get a proper initial task assignment solution. The second phase involves the Pareto optimization improvement in the solution generated from the first phase. For a single UAV, we use the dynamic programming algorithm to calculate the total cost of completing all assigned tasks. The performance of the proposed scheme is compared to that of heuristic simulated annealing algorithm. The simulation results show that the proposed scheme can solve the homogeneous multi-UAV cooperative task assignment problem effectively. © 2019, ICST Institute for Computer Sciences, Social Informatics and Telecommunications Engineering.","Minimum spanning tree; Pareto optimization; Task assignment; Unmanned aerial vehicle","Springer"
"Nguyen D., Barkousaraie A.S., Shen C., Jia X., Jiang S.","Generating Pareto Optimal Dose Distributions for Radiation Therapy Treatment Planning",2019,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",12,"10.1007/978-3-030-32226-7_7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075822994&doi=10.1007%2f978-3-030-32226-7_7&partnerID=40&md5=db7491c7ca8bda57531f0091fa2e8aa2","Radiotherapy treatment planning currently requires many trial-and-error iterations between the planner and treatment planning system, as well as between the planner and physician for discussion/consultation. The physician’s preferences for a particular patient cannot be easily quantified and precisely conveyed to the planner. In this study we present a real-time volumetric Pareto surface dose generation deep learning neural network that can be used after segmentation by the physician, adding a tangible and quantifiable endpoint to portray to the planner. From 70 prostate patients, we first generated 84,000 intensity modulated radiation therapy plans (1,200 plans per patient) sampling the Pareto surface, representing various tradeoffs between the planning target volume (PTV) and the organs-at-risk (OAR), including bladder, rectum, left femur, right femur, and body. We divided the data to 10 test patients and 60 training/validation patients. We then trained a hierarchically densely connected convolutional U-net (HD U-net), to take the PTV and avoidance map representing OARs masks and weights, and predict the optimized plan. The HD U-net is capable of accurately predicting the 3D Pareto optimal dose distributions, with average [mean, max] dose errors of [3.4%, 7.7%](PTV), [1.6%, 5.6%](bladder), [3.7%, 4.2%](rectum), [3.2%, 8.0%](left femur), [2.9%, 7.7%](right femur), and [0.04%, 5.4%](body) of the prescription dose. The PTV dose coverage prediction was also very similar, with errors of 1.3% (D98) and 2.0% (D99). Homogeneity was also similar, differing by 0.06 on average. The neural network can predict the dose within 1.7 s. Clinically, the optimization and dose calculation is much slower, taking 5–10 min. © 2019, Springer Nature Switzerland AG.","Deep learning; Dose distribution; Intensity modulation; Neural network; Pareto surface; Radiation therapy treatment planning; U-net","Springer Science and Business Media Deutschland GmbH"
"Briones A.M., Rumpfkeil M.P., Thomas N.R., Rankin B.A.","Effect of deterministic and continuous design space resolution on multiple-objective combustor optimization",2019,"Proceedings of the ASME Turbo Expo",3,"10.1115/1.4045284","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075798423&doi=10.1115%2f1.4045284&partnerID=40&md5=08d50b69aa0b3633509dc5b59b5eb7c4","A supervised machine learning technique namely an Adaptive Multiple Objective (AMO) optimization algorithm is used to divide a continuous and deterministic design space into non-dominated Pareto frontier and dominated design points. The effect of the initial training data quantity, i.e., computational fluid dynamics (CFD) results, on the Pareto frontier and output parameter sensitivity is explored. The optimization study is performed on a subsonic small-scale cavity-stabilized combustor. A parametric geometry is created using CAD that is coupled with a meshing software. The latter automatically transfers meshes and boundary conditions to the solver, which is coupled with a post-processing tool. Steady, incompressible three-dimensional simulations are performed using a multiphase realizable k-ε Reynolds-averaged Navier-Stokes (RANS) approach with an adiabatic flamelet progress variable (FPV). Scalable wall functions are used for modeling turbulence near the wall. For each CFD simulation four levels of adaptive mesh refinement (AMR) are utilized on the original cut-cell grid. The mesh is refined where the flow exhibits large progress variable curvature. There are fifteen geometrical input parameters and three output parameters, viz., a pattern factor proxy (maximum exit temperature), a combustion efficiency proxy (averaged exit temperature), and total pressure loss (TPL). The Pareto frontier and the input-to-output parameter sensitivities are reported for each meta-model simulation. For the investigated design space, three times the number of input parameters plus one (48) yields an optimization independent of the initial sampling. This conclusion is drawn by comparing the Pareto frontiers and global sensitivities. However, the latter provides a better metric. The relative influence of the input parameters on the outputs is assessed by using both a Spearman’s order-rank correlation approach as well as an active subspace analysis. In general, non-dominated design points exhibit persistent geometrical features such as offset opposed cavity forward and aft driver jet alignment. Larger cavities necessitate larger chutes and smaller outer liner jet diameters, whereas smaller cavities require smaller chutes and larger outer liner jet diameters. The fuel injector radial location varies, but can be located either radially inward or outward with respect to the forward dilution jet radial locations. For these non-dominated designs there is substantial burning inside and outside of the cavity. The downstream dilution jets quench the upstream hot gases. Copyright © 2019 ASME.",,"American Society of Mechanical Engineers (ASME)"
"Ma J., Bai T., Nguyen D., Folkerts M., Jia X., Lu W., Zhou L., Jiang S.","Individualized 3D dose distribution prediction using deep learning",2019,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",4,"10.1007/978-3-030-32486-5_14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075662825&doi=10.1007%2f978-3-030-32486-5_14&partnerID=40&md5=139d8745a325395f39b9feb018f10a42","In cancer radiotherapy, inverse treatment planning is a multi-objective optimization problem. There exists a set of plans with various trade-offs on Pareto surface which are referred as Pareto optimal plans. Currently exploring such trade-offs, i.e., physician preference is a trial and error process and often time-consuming. Therefore, it is desirable to predict desired Pareto optimal plans in an efficient way before treatment planning. The predicted plans can be used as references for dosimetrists to rapidly achieve a clinically acceptable plan. Clinically the dose volume histogram (DVH) is a useful tool that can visually indicate the specific dose received by each certain volume percentage which is supposed to describe different trade-offs. Consequently, we have proposed a deep learning method based on patient’s anatomy and DVH information to predict the individualized 3D dose distribution. Qualitative measurements have showed analogous dose distributions and DVH curves compared to the true dose distribution. Quantitative measurements have demonstrated that our model can precisely predict the dose distribution with various trade-offs for different patients, with the largest mean and max dose differences between true dose and predicted dose for all critical structures no more than 1.7% of the prescription dose. © Springer Nature Switzerland AG 2019.","Deep learning; Dose prediction; Trade-offs; Treatment planning","Springer"
"Louppe G., Hermans J., Cranmer K.","Adversarial variational optimization of non-differentiable simulators",2019,"CEUR Workshop Proceedings",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075063837&partnerID=40&md5=069dfaf34c95f8907fadd97da256ea09","Complex computer simulators are increasingly used across fields of science as generative models tying parameters of an underlying theory to experimental observations. Inference in this setup is often difficult, as simulators rarely admit a tractable density or likelihood function. We introduce Adversarial Variational Optimization (AVO), a likelihood-free inference algorithm for fitting a non-differentiable generative model incorporating ideas from generative adversarial networks, variational optimization and empirical Bayes. We adapt the training procedure of generative adversarial networks by replacing the differentiable generative network with a domain-specific simulator. We solve the resulting non-differentiable minimax problem by minimizing variational upper bounds of the two adversarial objectives. Effectively, the procedure results in learning a proposal distribution over simulator parameters, such that the JS divergence between the marginal distribution of the synthetic data and the empirical distribution of observed data is minimized. We evaluate and compare the method with simulators producing both discrete and continuous data. © 2019 for this paper by its authors.","Likelihood-free inference; Physics; Simulator-based inference","CEUR-WS"
"Wang K.","Adversarial machine learning with double oracle",2019,"IJCAI International Joint Conference on Artificial Intelligence",1,"10.24963/ijcai.2019/925","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074953898&doi=10.24963%2fijcai.2019%2f925&partnerID=40&md5=723aefc7933192a801c5dd5fb5ad655d","We aim to improve the general adversarial machine learning solution by introducing the double oracle idea from game theory, which is commonly used to solve a sequential zero-sum game, where the adversarial machine learning problem can be formulated as a zero-sum minimax problem between learner and attacker. © 2019 International Joint Conferences on Artificial Intelligence. All rights reserved.",,"International Joint Conferences on Artificial Intelligence"
"Méndez-Hernández B.M., Rodríguez-Bazan E.D., Martinez-Jimenez Y., Libin P., Nowé A.","A Multi-objective Reinforcement Learning Algorithm for JSSP",2019,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",4,"10.1007/978-3-030-30487-4_44","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072864863&doi=10.1007%2f978-3-030-30487-4_44&partnerID=40&md5=06570ac6f383e881e1e4c2f1481ff23d","Scheduling is a decision making process that takes care of the allocation of resources to tasks over time. The Job Shop scheduling problem is one of the most complex scheduling scenarios and is commonly encountered in manufacturing industries. Most of the existing studies are based on optimizing one objective, but in real-world problems, multiple criteria often need to be optimized at once. We propose a Multi-Objective Multi-Agent Reinforcement Learning Algorithm that aims to obtain the non-dominated solutions set for Job Shop scheduling problems. The proposed algorithm is used to solve a set of benchmark problems optimizing makespan and tardiness. The performance of our algorithm is evaluated and compared to other algorithms from the literature using two measures for evaluating the Pareto front. We show that our algorithm is able to find a set of diverse and high quality non-dominated solutions, that significantly and consistently improves upon the results obtained by other state-of-the-art algorithms. © 2019, Springer Nature Switzerland AG.","Job Shop Scheduling Problems; Multi-agent; Multi-objective; Pareto front; Reinforcement Learning","Springer Verlag"
"Kontorovich A., Pinelis I.","Exact lower bounds for the agnostic probably-approximately-correct (PAC) machine learning model",2019,"Annals of Statistics",5,"10.1214/18-AOS1766","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072229645&doi=10.1214%2f18-AOS1766&partnerID=40&md5=cfee13e74f6a484176d5045a43068edd","We provide an exact nonasymptotic lower bound on the minimax expected excess risk (EER) in the agnostic probably-approximately-correct (PAC) machine learning classification model and identify minimax learning algorithms as certain maximally symmetric and minimally randomized ""voting"" procedures. Based on this result, an exact asymptotic lower bound on the minimax EER is provided. This bound is of the simple form c∞/√ν as ν→∞, where c∞ = 0.16997 . . . is a universal constant, ν = m/d, m is the size of the training sample and d is the Vapnik-Chervonenkis dimension of the hypothesis class. It is shown that the differences between these asymptotic and nonasymptotic bounds, as well as the differences between these two bounds and the maximum EER of any learning algorithms that minimize the empirical risk, are asymptotically negligible, and all these differences are due to ties in the mentioned ""voting"" procedures. A few easy to compute nonasymptotic lower bounds on the minimax EER are also obtained, which are shown to be close to the exact asymptotic lower bound c∞/√ν even for rather small values of the ratio ν = m/d. As an application of these results, we substantially improve existing lower bounds on the tail probability of the excess risk. Among the tools used are Bayes estimation and apparently new identities and inequalities for binomial distributions. © Institute of Mathematical Statistics, 2019.","Bayes decision rules; Binomial distribution; Classification; Empirical estimators; Generalization error; Minimax decision rules; PAC learning theory","Institute of Mathematical Statistics"
"Ramakrishnan R., Jui S., Partovi Nia V.","Deep demosaicing for edge implementation",2019,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",,"10.1007/978-3-030-27202-9_25","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071464755&doi=10.1007%2f978-3-030-27202-9_25&partnerID=40&md5=c7709f9752dee1ca7df646ae58c9121a","Most digital cameras use sensors coated with a Color Filter Array (CFA) to capture channel components at every pixel location, resulting in a mosaic image that does not contain pixel values in all channels. Current research on reconstructing these missing channels, also known as demosaicing, introduces many artifacts, such as zipper effect and false color. Many deep learning demosaicing techniques outperform other classical techniques in reducing the impact of artifacts. However, most of these models tend to be over-parametrized. Consequently, edge implementation of the state-of-the-art deep learning-based demosaicing algorithms on low-end edge devices is a major challenge. We provide an exhaustive search of deep neural network architectures and obtain a Pareto front of Color Peak Signal to Noise Ratio (CPSNR) as the performance criterion versus the number of parameters as the model complexity that outperforms the state-of-the-art. Architectures on the Pareto front can then be used to choose the best architecture for a variety of resource constraints. Simple architecture search methods such as exhaustive search and grid search requires some conditions of the loss function to converge to the optimum. We clarify these conditions in a brief theoretical study. © Springer Nature Switzerland AG 2019.","Deep learning; Demosaicing; Edge computing; Network architecture search","Springer Verlag"
"Renard E., Absil P.-A., Gallivan K.A.","Minimax center to extract a common subspace from multiple datasets",2019,"ESANN 2019 - Proceedings, 27th European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning",1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071305891&partnerID=40&md5=7dacac71c2488c554ab7d310d01605b5","We address the problem of extracting common information from multiple datasets. More specifically, we look for a common subspace minimizing the maximal dissimilarity with all datasets and we propose an algorithm derived from the first order necessary conditions of optimality. On synthetic datasets the proposed method gives as good results as a Riemannian based approach, but also provides an evaluation on how far the iterate is from a critical point. © 2019 ESANN (i6doc.com). All rights reserved.",,"ESANN (i6doc.com)"
"Noori A., Bi Lynn O., Ahmad H., Badlishah Ahmad R., Amir A., Abd A., Ibrahim M.K.","Wireless sensor network deployment based on machine learning for prolonging network lifetime and PDR",2019,"Journal of Theoretical and Applied Information Technology",2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070796969&partnerID=40&md5=283218d7194b8894dc7328001f9defe6","Sensor Deployment (SN) is one of the major challenges in wireless sensor network architecture. One of the most fundamental issues in wireless sensor deployment is to balance the objective to resolve network conflicts. This paper aims to find the Pareto front that maximizes the packet delivery ratio and minimizes sensor energy consumption for prolonging network lifetime. For this proposal, a hyper-heuristic framework for improving the performance of the metaheuristic (LMOJPSO) search optimization process by combining two different searching techniques was designed. The first optimization technique carried out its searches with the help of an extreme learning machine (ELM), whereas the second used a wireless sensor network simulator. In this paper, the proposed method is examined in given wireless sensor network test instances, and the evaluation of its performance is carried out using a WSN performance metric. The results indicate that the proposed model is superior to the non-dominated sorting genetic algorithm (NSGA-II). © 2005 – ongoing JATIT & LLS.","Hyper-heuristic; NSGA-II; Optimization; PSO; Wireless sensor network deployment","Little Lion Scientific"
"Khan M.S.R., Hussain Z., Ahmad I.","A comparison of quadratic regression and artificial neural networks for the estimation of quantiles at ungauged sites in regional frequency analysis",2019,"Applied Ecology and Environmental Research",4,"10.15666/aeer/1703_69376959","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069899111&doi=10.15666%2faeer%2f1703_69376959&partnerID=40&md5=b7e35fbe2c081822e346ffd56b2505f5","The study illustrates application of Regional Flood Frequency Analysis (RFFA) using Annual Maximum Peak Flows (AMPF) of eleven gauging sites of various streams of Khyber-Pakhtunkhwa, Pakistan. Assumptions associated to recorded data at various sites have been validated through various statistical tests. The discordancy measure indicates that there is no discordant site in the cluster of eleven sites. Heterogeneity measure based on l-moments confirms that the group of eleven sites is definitely homogeneous. Criterion of |Z - Dist| statistic and L-moment ratio diagram show that Generalized Pareto (GPA) distribution is the best fitted regional distribution of the study region. Regional flood quantiles for various return periods have been estimated using the quantile function of GPA distribution. Artificial Neural Networks (ANN) and Quadratic Regression (QR) model with robust estimation method have been used for the estimation of quantiles at ungauged sites. Model evaluation criteria’s (error comparison of predicted values) suggested that estimated quantiles through ANN are accurate relative to quadratic regression. Historical comparison shows that the quantiles estimated through index flood method and ANN are closely related to the highest recorded values of AMPF at each corresponding site for shorter as well as longer return periods. © 2019, ALÖKI Kft., Budapest, Hungary.","Analyzing extremes of floods; Khyber-Pakhtunkhwa; L-moments; Machine learning; Non-linear regression; Pakistan; Regional frequency analysis","Corvinus University of Budapest"
"Yamaguchi T., Nagahama S., Ichikawa Y., Takadama K.","Model-Based Multi-objective Reinforcement Learning with Unknown Weights",2019,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",1,"10.1007/978-3-030-22649-7_25","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069692072&doi=10.1007%2f978-3-030-22649-7_25&partnerID=40&md5=a242f27031f347f917a96552b9489daf","This paper describes solving multi-objective reinforcement learning problems where there are multiple conflicting objectives with unknown weights. Reinforcement learning (RL) is a popular algorithm for automatically solving sequential decision problems and most of them are focused on single-objective settings to decide a single solution. In multi-objective reinforcement learning (MORL), the reward function emits a reward vector instead of a scalar reward. A scalarization function with a vector of n weights (weight vector) is a commonly used to decide a single solution. The simple scalarization function is linear scalarization such as weighted sum. The main problem of previous MORL methods is a huge learning cost required to collect all Pareto optimal policies. Hence, it is hard to learn the high dimensional Pareto optimal policies. To solve this, this paper proposes the novel model-based MORL method by reward occurrence probability (ROP) with unknown weights. There are two main features. The first feature is that the average reward of a policy is defined by inner product of the ROP vector and the weight vector. The second feature is that it learns ROP in each policy instead of Q-values. Pareto optimal deterministic policies directly form the vertices of a convex hull in the ROP vector space. Therefore, Pareto optimal policies are calculated independently with weights and just once. The experimental results show that our proposed method collected all optimal policies under four dimensional Pareto optimal policies, and it takes a small computation time though previous MORL methods learn at most two or three dimensions. © 2019, Springer Nature Switzerland AG.","Average reward; Model-based; Multi-objective reinforcement learning; Reward occurrence probability; Reward vector","Springer Verlag"
"Rodriguez-Ibanez M., Munoz-Romero S., Soguero-Ruiz C., Gimeno-Blanes F.-J., Rojo-Alvarez J.L.","Towards Organization Management Using Exploratory Screening and Big Data Tests: A Case Study of the Spanish Red Cross",2019,"IEEE Access",5,"10.1109/ACCESS.2019.2923533","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069048843&doi=10.1109%2fACCESS.2019.2923533&partnerID=40&md5=fecab60d842c8f601a4e1d4bbb3f7f1e","With the emergence of information and communication technologies, a large amount of data has turned available for the organizations, which creates expectations on their value and content for management purposes. However, the exploratory analysis of available organizational data based on emerging Big Data technologies are still developing in terms of operative tools for solid and interpretable data description. In this work, we addressed the exploratory analysis of organization databases at early stages where little quantitative information is available about their efficiency. Categorical and metric single-variable tests are proposed and formalized in order to provide a mass criterion to identify regions in forms with clusters of significant variables. Bootstrap resampling techniques are used to provide nonparametric criteria in order to establish easy-to-use statistical tests, so that single-variable tests are represented each on a visual and quantitative statistical plot, whereas all the variables in a given form are jointly visualized in the so-called chromosome plots. More detailed profile plots offer deep comparison knowledge for categorical variables across the organization physical and functional structures, while histogram plots for numerical variables incorporate the statistical significance of the variables under study for preselected Pareto groups. Performance grouping is addressed by identifying two or three groups according to some representative empirical distribution of some convenient grouping feature. The method is applied to perform a Big-Data exploratory analysis on the follow-up forms of Spanish Red Cross, based on the number of interventions and on a by-record basis. Results showed that a simple one-variable blind-knowledge exploratory Big-Data analysis, as the one developed in this paper, offers unbiased comparative graphical and numerical information that characterize organizational dynamics in terms of applied resources, available capacities, and productivity. In particular, the graphical and numerical outputs of the present analysis proved to be a valid tool to isolate the underlying overloaded or under-performing resources in complex organizations. As a consequence, the proposed method allows a systematic and principled way for efficiency analysis in complex organizations, which combined with organizational internal knowledge could leverage and validate efficient decision-making. © 2013 IEEE.","Big Data; machine learning; organization efficiency; organization management; prediction model","Institute of Electrical and Electronics Engineers Inc."
"He W., Wang G., Hu J., Li C., Guo B., Li F.","Simultaneous Human Health Monitoring and Time-Frequency Sparse Representation Using EEG and ECG Signals",2019,"IEEE Access",9,"10.1109/ACCESS.2019.2921568","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068829878&doi=10.1109%2fACCESS.2019.2921568&partnerID=40&md5=57941ad9ab015dc087ee055a013e02c5","In the field of human health monitoring, intelligent diagnostic methods have drawn much attention recently to tackle the health problems and challenges faced by patients. In this paper, an efficient and flexible diagnostic method is proposed, which enables the simultaneous use of a machine learning method and sparsity-based representation technique. Specifically, the proposed method is based on a convolutional neural network (CNN) and generalized minimax-concave (GMC) method. First, measured potential signals, for instance, electroencephalogram (EEG) and electrocardiogram (ECG) signals are directly inputted into the designed network based on CNN for health conditions classification. The designed network adopts small convolution kernels to enhance the performance of feature extraction. In the training process, small batch samples are applied to improve the generalization of the model. Meanwhile, the 'Dropout' strategy is applied to overcome the overfitting problem in fully connected layers. Then, for a record of the interested EEG or ECG signal, the sparse representation of useful time-frequency features can be estimated via the GMC method. Case studies of seizure detection and arrhythmia signal analysis are adopted to verify the performance of the proposed method. The experimental results demonstrate that the proposed method can effectively identify different health conditions and maximally enhance the sparsity of time-frequency features. © 2013 IEEE.","convolutional neural network; deep learning; Feature extraction; health monitoring; sparse representation","Institute of Electrical and Electronics Engineers Inc."
"Hu R., Zhou S., Liu Y., Tang Z.","Margin-Based Pareto Ensemble Pruning: An Ensemble Pruning Algorithm That Learns to Search Optimized Ensembles",2019,"Computational Intelligence and Neuroscience",10,"10.1155/2019/7560872","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067799451&doi=10.1155%2f2019%2f7560872&partnerID=40&md5=7677029b2bea1229e66fe0352ea795dd","The ensemble pruning system is an effective machine learning framework that combines several learners as experts to classify a test set. Generally, ensemble pruning systems aim to define a region of competence based on the validation set to select the most competent ensembles from the ensemble pool with respect to the test set. However, the size of the ensemble pool is usually fixed, and the performance of an ensemble pool heavily depends on the definition of the region of competence. In this paper, a dynamic pruning framework called margin-based Pareto ensemble pruning is proposed for ensemble pruning systems. The framework explores the optimized ensemble pool size during the overproduction stage and finetunes the experts during the pruning stage. The Pareto optimization algorithm is used to explore the size of the overproduction ensemble pool that can result in better performance. Considering the information entropy of the learners in the indecision region, the marginal criterion for each learner in the ensemble pool is calculated using margin criterion pruning, which prunes the experts with respect to the test set. The effectiveness of the proposed method for classification tasks is assessed using datasets. The results show that margin-based Pareto ensemble pruning can achieve smaller ensemble sizes and better classification performance in most datasets when compared with state-of-the-art models. © 2019 Ruihan Hu et al.",,"Hindawi Limited"
