Title,Authors,Publisher,Year,DOI,Keywords,Citations,Optimization,ML task,Objective functions,Single/Multi Solutions,Abstract
multilayer perceptron: nsga ii for a new multi-objective learning method for training and model complexity,"Senhaji K., Ramchoun H., Ettaouil M.",Advances in Intelligent Systems and Computing,2019.0,10.1007/978-3-319-91337-7_15,Multi-objective training; Multilayer perceptron; Non-dominated Sorting Genetic Algorithm II (NSGA II); Non-linear optimization; Pareto front; Supervised learning,1.0,"['Evolutionary', 'NSGA-II']","['Multilayer Perceptron', 'Classification']","['Training error', 'Network weights']",Single - Crowding distance,"The multi-layer perceptron has proved its efficiencies in several fields as pattern and voice recognition. Unfortunately, the classical training for MLP suffers from a poor generalization. In this respect, we have proposed a new multi-objective training model with constraints, satisfies two objectives. The first one is the learning objective: minimizing the perceptron error and the second is the complexity objective: optimizing number of weights and neurons. The proposed model will provide a balance between the multi-layer perceptron learning and the complexity to get a good generalization. Our model has been solved using an evolutionary approach called the Non-Dominated Sorting Genetic Algorithm (NSGA II). This approach has led to a good representation of the Pareto set for the MLP network, from which an improved generalization performance model is selected. © 2019, Springer International Publishing AG, part of Springer Nature."
constrained multi-objective optimization for automated machine learning,S. Gardner; O. Golovidov; J. Griffin; P. Koch; W. Thompson; B. Wujek; Y. Xu,2019 IEEE International Conference on Data Science and Advanced Analytics (DSAA),2019.0,10.1109/DSAA.2019.00051,Multi-objective Optimization;Automated Machine Learning;Distributed Computing System,4.0,"['Evolutionary', 'Genetic', 'Autotune']","['AutoML', 'Classification']","['Misclassification Rate', 'False Positive Rate', 'Black-box functions']",Multi,"Automated machine learning has gained a lot of attention recently. Building and selecting the right machine learning models is often a multi-objective optimization problem. General purpose machine learning software that simultaneously supports multiple objectives and constraints is scant, though the potential benefits are great. In this work, we present a framework called Autotune that effectively handles multiple objectives and constraints that arise in machine learning problems. Autotune is built on a suite of derivative-free optimization methods, and utilizes multi-level parallelism in a distributed computing environment for automatically training, scoring, and selecting good models. Incorporation of multiple objectives and constraints in the model exploration and selection process provides the flexibility needed to satisfy trade-offs necessary in practical machine learning applications. Experimental results from standard multi-objective optimization benchmark problems show that Autotune is very efficient in capturing Pareto fronts. These benchmark results also show how adding constraints can guide the search to more promising regions of the solution space, ultimately producing more desirable Pareto fronts. Results from two real-world case studies demonstrate the effectiveness of the constrained multi-objective optimization capability offered by Autotune."
nsga-net: neural architecture search using multi-objective genetic algorithm,"Lu, Zhichao and Whalen, Ian and Boddeti, Vishnu and Dhebar, Yashesh and Deb, Kalyanmoy and Goodman, Erik and Banzhaf, Wolfgang",Association for Computing Machinery,2019.0,10.1145/3321707.3321729,"deep learning, image classification, multi objective, bayesian optimization, neural architecture search",,"['Evolutionary', 'NSGA-II']","['Architecture Search', 'Neural Network', 'Classification']","['Classification Error', 'Computational complexity']",Multi,"This paper introduces NSGA-Net --- an evolutionary approach for neural architecture search (NAS). NSGA-Net is designed with three goals in mind: (1) a procedure considering multiple and conflicting objectives, (2) an efficient procedure balancing exploration and exploitation of the space of potential neural network architectures, and (3) a procedure finding a diverse set of trade-off network architectures achieved in a single run. NSGA-Net is a population-based search algorithm that explores a space of potential neural network architectures in three steps, namely, a population initialization step that is based on prior-knowledge from hand-crafted architectures, an exploration step comprising crossover and mutation of architectures, and finally an exploitation step that utilizes the hidden useful knowledge stored in the entire history of evaluated neural architectures in the form of a Bayesian Network. Experimental results suggest that combining the dual objectives of minimizing an error metric and computational complexity, as measured by FLOPs, allows NSGA-Net to find competitive neural architectures. Moreover, NSGA-Net achieves error rate on the CIFAR-10 dataset on par with other state-of-the-art NAS methods while using orders of magnitude less computational resources. These results are encouraging and shows the promise to further use of EC methods in various deep-learning paradigms."
a multi-objective competitive co-evolutionary approach for classification problems,V. T. VU; L. T. BUI; T. T. NGUYEN,2019 6th NAFOSTED Conference on Information and Computer Science (NICS),2019.0,10.1109/NICS48868.2019.9023887,competitive co-evolutionary;Prey-Predator;multiobjective optimization;classification;ensemble learning.,,"['Evolutionary', 'Prey-Predator']","['Classification', 'Neural Networks', 'Ensemble']","['Accuracy', 'Diversity']",Single - Ensemble,"This paper proposes a multi-objective competitive co-evolutionary algorithm (MOCPCEA) based on the PreyPredator model to solve classification problems. In the MOCPCEA, a data population acts as preys. To be specific, each prey represents a selected subset of the training dataset. Another population is ANN classifiers which play as Predators. The task of the Predators is to try to classify the data sets as correctly as possible, whereas the Preys try to find the data sets that are difficult to be classified. Through this interaction process, MOCPCEA generates a set of classifiers that are able to classify difficult data sets. The final classification result is given by the ensemble voting mechanism among these sets of classifiers. The performance of the proposed algorithm is performed on seven benchmark problems. Through comparison with other algorithms, the proposed algorithm indicates that it could create an ensemble of ANN networks that give high and stable classification results."
what's inside the black-box? a genetic programming method for interpreting complex machine learning models,"Evans, Benjamin P. and Xue, Bing and Zhang, Mengjie",Association for Computing Machinery,2019.0,10.1145/3321707.3321726,"interpretable machine learning, evolutionary multi-objective optimisation, explainable artificial intelligence",,"['Evolutionary', 'Genetic', 'NSGA-II']","['Expainable AI', 'Interpretable ML', 'Classification']","['f1-score', 'Split points']",Single - Largest f1,"Interpreting state-of-the-art machine learning algorithms can be difficult. For example, why does a complex ensemble predict a particular class? Existing approaches to interpretable machine learning tend to be either local in their explanations, apply only to a particular algorithm, or overly complex in their global explanations. In this work, we propose a global model extraction method which uses multi-objective genetic programming to construct accurate, simplistic and model-agnostic representations of complex black-box estimators. We found the resulting representations are far simpler than existing approaches while providing comparable reconstructive performance. This is demonstrated on a range of datasets, by approximating the knowledge of complex black-box models such as 200 layer neural networks and ensembles of 500 trees, with a single tree."
multiobjective semisupervised classifier ensemble,Z. Yu; Y. Zhang; C. L. P. Chen; J. You; H. Wong; D. Dai; S. Wu; J. Zhang,IEEE Transactions on Cybernetics,2019.0,10.1109/TCYB.2018.2824299,Ensemble learning;feature selection;multiobjective optimization;semisupervised learning,13.0,"['Evolutionary', 'Genetic', 'NSGA-II']","['Classification', 'Ensemble', 'Feature Selection']","['Relevance of features', 'Redundancy between features', 'Data reconstruction error']",Single - Ensemble,"Classification of high-dimensional data with very limited labels is a challenging task in the field of data mining and machine learning. In this paper, we propose the multiobjective semisupervised classifier ensemble (MOSSCE) approach to address this challenge. Specifically, a multiobjective subspace selection process (MOSSP) in MOSSCE is first designed to generate the optimal combination of feature subspaces. Three objective functions are then proposed for MOSSP, which include the relevance of features, the redundancy between features, and the data reconstruction error. Then, MOSSCE generates an auxiliary training set based on the sample confidence to improve the performance of the classifier ensemble. Finally, the training set, combined with the auxiliary training set, is used to select the optimal combination of basic classifiers in the ensemble, train the classifier ensemble, and generate the final result. In addition, diversity analysis of the ensemble learning process is applied, and a set of nonparametric statistical tests is adopted for the comparison of semisupervised classification approaches on multiple datasets. The experiments on 12 gene expression datasets and two large image datasets show that MOSSCE has a better performance than other state-of-the-art semisupervised classifiers on high-dimensional data."
multi-task learning by pareto optimality,"Dyankov D., Riccio S.D., Di Fatta G., Nicosia G.",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2019.0,10.1007/978-3-030-37599-7_50,Atari 2600 Games; Deep artificial neural networks; Deep neuroevolution; Evolution Strategy; Hypervolume; Kullback-Leibler Divergence; Multitask learning; Neural and evolutionary computing,1.0,['Evolutionary'],"['Multitask Learning', 'Deep Neural Networks']",['Utility function of each task'],Multi,"Deep Neural Networks (DNNs) are often criticized because they lack the ability to learn more than one task at a time: Multitask Learning is an emerging research area whose aim is to overcome this issue. In this work, we introduce the Pareto Multitask Learning framework as a tool that can show how effectively a DNN is learning a shared representation common to a set of tasks. We also experimentally show that it is possible to extend the optimization process so that a single DNN simultaneously learns how to master two or more Atari games: using a single weight parameter vector, our network is able to obtain sub-optimal results for up to four games. © Springer Nature Switzerland AG 2019."
evolutionary discovery of coresets for classification,"Barbiero, Pietro and Squillero, Giovanni and Tonda, Alberto",Association for Computing Machinery,2019.0,10.1145/3319619.3326846,"evolutionary algorithms, multi-objective, explain AI, coreset discovery, classification, machine learning",,"['Evolutionary', 'NSGA-II']","['Classification', 'Coreset discovery', 'Explainable AI']","['Number of samples', 'Accuracy']",Single - Accuracy in Validation,"When a machine learning algorithm is able to obtain the same performance given a complete training set, and a small subset of samples from the same training set, the subset is termed coreset. As using a coreset improves training speed and allows human experts to gain a better understanding of the data, by reducing the number of samples to be examined, coreset discovery is an active line of research. Often in literature the problem of coreset discovery is framed as i. single-objective, attempting to find the candidate coreset that best represents the training set, and ii. independent from the machine learning algorithm used. In this work, an approach to evolutionary coreset discovery is presented. Building on preliminary results, the proposed approach uses a multi-objective evolutionary algorithm to find compromises between two conflicting objectives, i. minimizing the number of samples in a candidate coreset, and ii. maximizing the accuracy of a target classifier, trained with the coreset, on the whole original training set. Experimental results on popular classification benchmarks show that the proposed approach is able to identify candidate coresets with better accuracy and generality than state-of-the-art coreset discovery algorithms found in literature."
margin-based pareto ensemble pruning: an ensemble pruning algorithm that learns to search optimized ensembles,"Hu, RH; Zhou, SB; Liu, YS; Tang, ZR",COMPUTATIONAL INTELLIGENCE AND NEUROSCIENCE,2019.0,10.1155/2019/7560872,,,"['Evolutionary', 'NSGA-II']","['Classification', 'Ensemble', 'Ensemble Pruning']","['Classification Error', 'Number of models selected']",Single,"The ensemble pruning system is an effective machine learning framework that combines several learners as experts to classify a test set. Generally, ensemble pruning systems aim to define a region of competence based on the validation set to select the most competent ensembles from the ensemble pool with respect to the test set. However, the size of the ensemble pool is usually fixed, and the performance of an ensemble pool heavily depends on the definition of the region of competence. In this paper, a dynamic pruning framework called margin-based Pareto ensemble pruning is proposed for ensemble pruning systems. The framework explores the optimized ensemble pool size during the overproduction stage and finetunes the experts during the pruning stage. The Pareto optimization algorithm is used to explore the size of the overproduction ensemble pool that can result in better performance. Considering the information entropy of the learners in the indecision region, the marginal criterion for each learner in the ensemble pool is calculated using margin criterion pruning, which prunes the experts with respect to the test set. The effectiveness of the proposed method for classification tasks is assessed using datasets. The results show that margin-based Pareto ensemble pruning can achieve smaller ensemble sizes and better classification performance in most datasets when compared with state-of-the-art models."
evolutionary inversion of class distribution in overlapping areas for multi-class imbalanced learning,"Fernandes, ERQ; de Carvalho, ACPLF",INFORMATION SCIENCES,2019.0,10.1016/j.ins.2019.04.052,Multi-Class imbalanced learning; Ensemble of classifiers; Evolutionary algorithms,,"['Evolutionary', 'NSGA-II']","['Ensemble', 'Classification', 'Multi-Class', 'Imbalanced Learning']","['Accuracy', 'percentage of instances of the majority classes that are at the border of separation with the minority classes']",Single - Ensemble,"Inductive learning from multi-class and imbalanced datasets is one of the main challenges for machine learning. Most machine learning algorithms have their predictive performance negatively affected by imbalanced data. Although several techniques have been proposed to deal with this difficulty, they are usually restricted to binary classification datasets. Thus, one of the research challenges in this area is how to deal with imbalanced multiclass classification datasets. This challenge become more difficult when classes containing fewer instances are located in overlapping regions of the data attribute space. In fact, several studies have indicated that the degree of class overlapping has a higher effect on predictive performance than the global class imbalance ratio. This paper proposes a novel evolutionary ensemble-based method for multi-class imbalanced learning called the evolutionary inversion of class distribution in overlapping areas for multi-class imbalanced learning (EVINCI). EVINCI uses a multiobjective evolutionary algorithm (MOEA) to evolve a set of samples taken from an imbalanced dataset. It selectively reduces the concentration of less representative instances of the majority classes in the overlapping areas while selecting samples that produce more accurate models. In experiments performed to evaluate its predictive accuracy, EVINCI was superior to state-of-the-art ensemble-based methods for imbalanced learning. (C) 2019 Published by Elsevier Inc."
automatic decision making for parameters in kernel method,Y. Pei,2019 IEEE Symposium Series on Computational Intelligence (SSCI),2019.0,10.1109/SSCI44817.2019.9002691,kernel method;kernel function;reproducing kernel Hilbert space;machine learning;decision making;evolutionary multi-objective optimization,2.0,"['Evolutionary', 'Chaotic evolution']","['Kernel methods', 'AutoML', 'Classification']","['Distance', 'Angle']",Multi,"We propose to use the relationship between the parameter of kernel function and its decisional angle or distance metrics for selecting the optimal setting of the parameter of kernel functions in kernel method-based algorithms. Kernel method is established in the reproducing kernel Hilbert space, the angle and distance are two metrics in such space. We analyse and investigate the relationship between the parameter of kernel function and the metrics (distance or angle) in the reproducing kernel Hilbert space. We design a target function of optimization to model the relationship between these two variables, and found that (1) the landscape shapes of parameter and the metrics are the same in Gaussian kernel function because the norm of all the vectors are equal to one in reproducing kernel Hilbert space; (2) the landscape monotonicity of that are opposite in polynomial kernel function from that of Gaussian kernel. The monotonicity of designed target functions of optimization using Gaussian kernel and polynomial kernel is different as well. The distance metric and angle metric have different distribution characteristics for the decision of parameter setting in kernel function. It needs to balance these two metrics when selecting a proper parameter of the kernel function in kernel-based algorithms. We use evolutionary multi-objective optimization algorithms to obtain the Pareto solutions for optimal selection of the parameter in kernel functions. We found that evolutionary multi-objective optimization algorithms are useful tools to balance the distance metric and angle metric in the decision of parameter setting in kernel method-based algorithms."
single-objective/multiobjective cat swarm optimization clustering analysis for data partition,D. Yan; H. Cao; Y. Yu; Y. Wang; X. Yu,IEEE Transactions on Automation Science and Engineering,2020.0,10.1109/TASE.2020.2969485,Clustering analysis;data partition;quantum model;single-objective/multiobjective optimization,9.0,"['Evolutionary', 'Cat Swarm Optimization']","['Clustering', 'Data Partition']","['Cohesion', 'Connectivity']",Single - Max crowding-distance,"This article proposes single-objective/multiobjective cat swarm optimization clustering algorithms for data partition. The proposed methods use the cat swarm to search the optimal. The position of the cat tightly associates with the clustering centers and is updated by two submodes: the seeking mode and the tracing mode. The seeking mode uses the simulated annealing strategy to update the cat position at a probability. Inspired by the quantum theories, the tracing mode adopts the quantum model to update the cat position in the whole solution space. First, the single-objective method is proposed and adopts the cohesion of clustering as the objective function, in which the kernel method is applied. For considering more objective functions to reveal diverse aspects of data, the multiobjective method is proposed and adopts both the cohesion and the connectivity as the objective functions. The Pareto optimization method is applied to balance the objectives. In the experiments, three kinds of data sets are used to examine the effectiveness of the proposed methods, which are three synthetic data sets, four data sets from the UCI Machine Learning Repository, and a field data set. Experimental results verified that the proposed methods perform better than the traditional clustering algorithms, and the proposed multiobjective method has the highest accuracy. Note to Practitioners-This article presents single-objective/multiobjective cat swarm optimization clustering analysis methods for data partition. Through automatically extracting meaningful or useful classes, clustering analysis could help the practitioners or the intelligent devices find the specific meanings of data, natural data structure, the data relationships, or other characteristics. The proposed methods use the cat swarm to search the optimal clustering result. One or more criterion functions could be selected as the optimization objectives. The time complexity of the multiobjective type is higher than that of the single-objective type. Therefore, in the industrial field, engineers should choose the number of the optimization objectives based on the actual requirements. The proposed methods could be widely used into industrial applications to deal with complex data sets. Future research could consider some more progressive optimization schemes to improve the effectiveness."
automated test input generation for convolutional neural networks by implementing multi-objective evolutionary algorithms,L. ZHANG; H. SATO,2020 Eighth International Symposium on Computing and Networking Workshops (CANDARW),2020.0,10.1109/CANDARW51189.2020.00040,Deep learning testing;Automated test input generation;Evolutionary algorithms,,"['Evolutionary', 'NSGA-II']","['Deep Neural Networks', 'Input generation', 'Classification']","['Neuron coverage', 'Behavioral divergence', 'Pertubation degree']",Single - Crowded tournament selection,"Deep Neural Networks (DNNs) have been widely applied in safety- and security-critical aspects, where the robustness of the system is of great significance, especially for corner case inputs. Traditionally, a DNN is tested with manually labeled data, which is not only labor-consuming, but also unable to contain statistically rare case inputs.In our work, we design, implement and evaluate the test input generation framework guided by multi-objective functions. The multi-objective functions are formed from neuron coverage, behavioral divergence and perturbation degree. We leverage evolutionary algorithms (EAs) to resolve such optimization problem by generating approximation to Pareto-optimal solutions. By implementing our framework, we successfully generated more than 6,000 test inputs for a convolutional neural network. And the generated test inputs help to improve the system’s accuracy by up to 4.4%."
machine learning with incomplete datasets using multi-objective optimization models,H. A. Khorshidi; M. Kirley; U. Aickelin,2020 International Joint Conference on Neural Networks (IJCNN),2020.0,10.1109/IJCNN48605.2020.9206742,incomplete data;multi-objective model;uncertainty;model selection;classification,,"['Evolutionary', 'NSGA-II']","['Incomplete data', 'SVM', 'Classification']","['Cluster validity', 'Correlation', 'Variance ratio']",Multi,"Machine learning techniques have been developed to learn from complete data. When missing values exist in a dataset, the incomplete data should be preprocessed separately by removing data points with missing values or imputation. In this paper, we propose an online approach to handle missing values while a classification model is learnt. To reach this goal, we develop a multi-objective optimization model with two objective functions for imputation and model selection. We also propose three formulations for imputation objective function. We use an evolutionary algorithm based on NSGA II to find the optimal solutions as the Pareto solutions. We investigate the reliability and robustness of the proposed model using experiments by defining several scenarios in dealing with missing values and classification. We also describe how the proposed model can contribute to medical informatics. We compare the performance of three different formulations via experimental results. The proposed model results get validated by comparing with a comparable literature."
multi-objective hyperparameter tuning and feature selection using filter ensembles,"Binder, Martin and Moosbauer, Julia and Thomas, Janek and Bischl, Bernd",Association for Computing Machinery,2020.0,10.1145/3377930.3389815,"model-based optimization, multiobjective optimization, hyperparameter optimization, evolutionary algorithms, feature selection",,"['Evolutionary', 'NSGA-II', 'Bayesian']","['Feature Selection', 'Hyperparameter tuning', 'Classification', 'Filter Ensemble']","['Generalization error', 'Fraction of selected features']",Single - Ensemble,"Both feature selection and hyperparameter tuning are key tasks in machine learning. Hyperparameter tuning is often useful to increase model performance, while feature selection is undertaken to attain sparse models. Sparsity may yield better model interpretability and lower cost of data acquisition, data handling and model inference. While sparsity may have a beneficial or detrimental effect on predictive performance, a small drop in performance may be acceptable in return for a substantial gain in sparseness. We therefore treat feature selection as a multi-objective optimization task. We perform hyperparameter tuning and feature selection simultaneously because the choice of features of a model may influence what hyperparameters perform well.We present, benchmark, and compare two different approaches for multi-objective joint hyperparameter optimization and feature selection: The first uses multi-objective model-based optimization. The second is an evolutionary NSGA-II-based wrapper approach to feature selection which incorporates specialized sampling, mutation and recombination operators. Both methods make use of parameterized filter ensembles.While model-based optimization needs fewer objective evaluations to achieve good performance, it incurs computational overhead compared to the NSGA-II, so the preferred choice depends on the cost of evaluating a model on given data."
transfer clustering ensemble selection,Y. Shi; Z. Yu; C. L. P. Chen; J. You; H. -S. Wong; Y. Wang; J. Zhang,IEEE Transactions on Cybernetics,2020.0,10.1109/TCYB.2018.2885585,Clustering ensemble selection (CES);machine learning;multiobjective;transfer learning,7.0,"['Evolutionary', 'NSGA-II', 'Bayesian']","['Clustering', 'Ensemble', 'Transfer Learning']","['Performance', 'Quality index', 'Diversity index']",Single - Ensemble,"Clustering ensemble (CE) takes multiple clustering solutions into consideration in order to effectively improve the accuracy and robustness of the final result. To reduce redundancy as well as noise, a CE selection (CES) step is added to further enhance performance. Quality and diversity are two important metrics of CES. However, most of the CES strategies adopt heuristic selection methods or a threshold parameter setting to achieve tradeoff between quality and diversity. In this paper, we propose a transfer CES (TCES) algorithm which makes use of the relationship between quality and diversity in a source dataset, and transfers it into a target dataset based on three objective functions. Furthermore, a multiobjective self-evolutionary process is designed to optimize these three objective functions. Finally, we construct a transfer CE framework (TCE-TCES) based on TCES to obtain better clustering results. The experimental results on 12 transfer clustering tasks obtained from the 20newsgroups dataset show that TCE-TCES can find a better tradeoff between quality and diversity, as well as obtaining more desirable clustering results."
plausible counterfactuals: auditing deep learning classifiers with realistic adversarial examples,A. Barredo-Arrieta; J. Del Ser,2020 International Joint Conference on Neural Networks (IJCNN),2020.0,10.1109/IJCNN48605.2020.9206728,Explainable Artificial Intelligence;Deep Learning;Counterfactuals;Generative Adversarial Networks;Multiobjective Optimization;Meta-heuristics,2.0,['Heuristic'],"['Explainable AI','Deep Learning','Counterfactuals','GAN']","['Unlikeliness','Probability of not confusion','Intensity of adversarial changes']",Multi,"The last decade has witnessed the proliferation of Deep Learning models in many applications, achieving unrivaled levels of predictive performance. Unfortunately, the black-box nature of Deep Learning models has posed unanswered questions about what they learn from data. Certain application scenarios have highlighted the importance of assessing the bounds under which Deep Learning models operate, a problem addressed by using assorted approaches aimed at audiences from different domains. However, as the focus of the application is placed more on non-expert users, it results mandatory to provide the means for him/her to trust the model, just like a human gets familiar with a system or process: by understanding the hypothetical circumstances under which it fails. This is indeed the angular stone for this research work: to undertake an adversarial analysis of a Deep Learning model. The proposed framework constructs counterfactual examples by ensuring their plausibility, e.g. there is a reasonable probability that a human could generate them without resorting to a computer program. Therefore, this work must be regarded as valuable auditing exercise of the usable bounds a certain model is constrained within, thereby allowing for a much greater understanding of the capabilities and pitfalls of a model used in a real application. To this end, a Generative Adversarial Network (GAN) and multi-objective heuristics are used to furnish a plausible attack to the audited model, efficiently trading between the confusion of this model, the intensity and plausibility of the generated counterfactual. Its utility is showcased within a human face classification task, unveiling the enormous potential of the proposed framework."
feature selection with dynamic classifier ensembles,H. E. Kiziloz; A. Deniz,"2020 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",2020.0,10.1109/SMC42975.2020.9282969,feature selection;multiobjective optimization;machine learning;classifier ensemble,1.0,"['Evolutionary', 'NSGA-II']","['Feature Selection', 'Ensemble', 'Classification']","['Number of features', 'Accuracy']",Single - Ensemble,"With the advance in technology, the volume of available data grows massively. Therefore, feature selection has become an essential preprocessing step to extract valuable information. Feature selection is the task of reducing the number of features by removing redundant features from data while preserving the classification accuracy. It is a multiobjective problem as there are two objectives. In general, multiobjective selection algorithms with machine learning techniques are utilized to find the most promising feature subsets; however, classification performances of these machine learning techniques are analyzed separately. In this study, we propose a new multiobjective selection model that dynamically searches for the best ensemble of five classifiers to extract the best representative feature subsets. We present the experiment results on 12 well-known datasets. The results show that the proposed method performs significantly better than all the machine learning techniques when they are executed separately. Moreover, the proposed method outperforms two existing ensemble algorithms, namely AdaBoost and Gradient Boosting."
ensemble of classifiers based on multiobjective genetic sampling for imbalanced data,E. R. Q. Fernandes; A. C. P. L. F. de Carvalho; X. Yao,IEEE Transactions on Knowledge and Data Engineering,2020.0,10.1109/TKDE.2019.2898861,Imbalanced datasets;ensemble of classifiers;evolutionary algorithm,18.0,"['Evolutionary', 'NSGA-II']","['Imbalanced Data', 'Ensemble', 'Classification']",['Positive Predictive Value by class'],Single - Ensemble,"Imbalanced datasets may negatively impact the predictive performance of most classical classification algorithms. This problem, commonly found in real-world, is known in machine learning domain as imbalanced learning. Most techniques proposed to deal with imbalanced learning have been proposed and applied only to binary classification. When applied to multiclass tasks, their efficiency usually decreases and negative side effects may appear. This paper addresses these limitations by presenting a novel adaptive approach, E-MOSAIC (Ensemble of Classifiers based on MultiObjective Genetic Sampling for Imbalanced Classification). E-MOSAIC evolves a selection of samples extracted from training dataset, which are treated as individuals of a MOEA. The multiobjective process looks for the best combinations of instances capable of producing classifiers with high predictive accuracy in all classes. E-MOSAIC also incorporates two mechanisms to promote the diversity of these classifiers, which are combined into an ensemble specifically designed for imbalanced learning. Experiments using twenty imbalanced multi-class datasets were carried out. In these experiments, the predictive performance of E-MOSAIC is compared with state-of-the-art methods, including methods based on presampling, active-learning, cost-sensitive, and boosting. According to the experimental results, the proposed method obtained the best predictive performance for the multiclass accuracy measures mAUC and G-mean."
multiobjective fuzzy genetics-based machine learning for multi-label classification,Y. Omozaki; N. Masuyama; Y. Nojima; H. Ishibuchi,2020 IEEE International Conference on Fuzzy Systems (FUZZ-IEEE),2020.0,10.1109/FUZZ48607.2020.9177804,multi-label classification;multiobjective fuzzy genetics-based machine learning;fuzzy rule-based classification system;method adaptation approach,1.0,"['Evolutionary', 'NSGA-II']","['Classification', 'Multi-Label']","['Subset Accuracy', 'Hamming Loss', 'F-Measure', 'Number of rules']",Multi,"In multi-label classification problems, multiple class labels are assigned to each instance. Two approaches have been studied in the literature. One is a data transformation approach, which transforms a multi-label dataset into a number of singlelabel datasets. However, this approach often loses the correlation information among classes in the multi-class assignment. The other is a method adaptation approach where a conventional classification method is extended to multi-label classification. Recently, some explainable classification models for multi-label classification have been proposed. Their high interpretability has also been discussed with respect to the transparency of the classification process. Although the explainability is a well-known advantage of fuzzy systems, their applications to multi-label classification have not been well studied. Since multi-label classification problems often have vague class boundaries, fuzzy systems seem to be a promising approach to multi-label classification. In this paper, we propose a new multiobjective evolutionary fuzzy system, which can be categorized as a method adaptation approach. The proposed algorithm produces nondominated classifiers with different tradeoffs between accuracy and complexity. We examine the behavior of the proposed algorithm using synthetic multi-label datasets. We also compare the proposed algorithm with five representative algorithms. Our experimental results on real-world datasets show that the obtained fuzzy classifiers with a small number of fuzzy rules have high transparency and comparable generalization ability to the other examined multi-label classification algorithms."
multiple reference points-based decomposition for multiobjective feature selection in classification: static and dynamic mechanisms,B. H. Nguyen; B. Xue; P. Andreae; H. Ishibuchi; M. Zhang,IEEE Transactions on Evolutionary Computation,2020.0,10.1109/TEVC.2019.2913831,Classification;feature selection;multiobjective evolutionary algorithm based on decomposition (MOEA/D);multiobjective optimization;partially conflicting,23.0,"['Evolutionary', 'MOEA/D']","['Classification', 'Feature Selection']","['Classification error', 'Number of selected features']",Multi,"Feature selection is an important task in machine learning that has two main objectives: 1) reducing dimensionality and 2) improving learning performance. Feature selection can be considered a multiobjective problem. However, it has its problematic characteristics, such as a highly discontinuous Pareto front, imbalance preferences, and partially conflicting objectives. These characteristics are not easy for existing evolutionary multiobjective optimization (EMO) algorithms. We propose a new decomposition approach with two mechanisms (static and dynamic) based on multiple reference points under the multiobjective evolutionary algorithm based on decomposition (MOEA/D) framework to address the above-mentioned difficulties of feature selection. The static mechanism alleviates the dependence of the decomposition on the Pareto front shape and the effect of the discontinuity. The dynamic one is able to detect regions in which the objectives are mostly conflicting, and allocates more computational resources to the detected regions. In comparison with other EMO algorithms on 12 different classification datasets, the proposed decomposition approach finds more diverse feature subsets with better performance in terms of hypervolume and inverted generational distance. The dynamic mechanism successfully identifies conflicting regions and further improves the approximation quality for the Pareto fronts."
combining a gradient-based method and an evolution strategy for multi-objective reinforcement learning,"Chen D., Wang Y., Gao W.",Applied Intelligence,2020.0,10.1007/s10489-020-01702-7,Multi-objective reinforcement learning; Multi-policy reinforcement learning; Pareto frontier; Sampling efficiency,2.0,"['Evolutionary', 'MO-CMA-ES']","['Reinforcement Learning', 'Multi-policy']",['Task objectives'],Multi,"Multi-objective reinforcement learning (MORL) algorithms aim to approximate the Pareto frontier uniformly in multi-objective decision making problems. In the scenario of deep reinforcement learning (RL), gradient-based methods are often adopted to learn deep policies/value functions due to the fast convergence speed, while pure gradient-based methods can not guarantee a uniformly approximated Pareto frontier. On the other side, evolution strategies straightly manipulate in the solution space to achieve a well-distributed Pareto frontier, but applying evolution strategies to optimize deep networks is still a challenging topic. To leverage the advantages of both kinds of methods, we propose a two-stage MORL framework combining a gradient-based method and an evolution strategy. First, an efficient multi-policy soft actor-critic algorithm is proposed to learn multiple policies collaboratively. The lower layers of all policy networks are shared. The first-stage learning can be regarded as representation learning. Secondly, the multi-objective covariance matrix adaptation evolution strategy (MO-CMA-ES) is applied to fine-tune policy-independent parameters to approach a dense and uniform estimation of the Pareto frontier. Experimental results on three benchmarks (Deep Sea Treasure, Adaptive Streaming, and Super Mario Bros) show the superiority of the proposed method. © 2020, Springer Science+Business Media, LLC, part of Springer Nature."
